cantera_name,range_label,T_low_K,T_high_K,a0,a1,a2,a3,a4,a5,a6,a7,a8
Adenine(aq),low,273.16,500.0,23804.707420859562,-16271.490564764947,-226.14894359334238,3.3078921748009353,-0.012558903304167666,1.962774436293446e-05,-1.057638563166681e-08,135988.9563864972,680.3857985310268
Adenine(aq),high,500.0,643.15,42026.75938767024,10.641254247530657,99031.09776510831,-1494.7630125498645,6.306971105215651,-0.010475923690930675,6.100280322290529e-06,148343.11344893137,-315211.3494861157
C2H2(aq),low,273.16,500.0,-342.2275109119833,-12091.602498890312,1043.595750963484,-9.173382187523657,0.032519554384398915,-5.219888270177496e-05,3.183796381963451e-08,-3098.7289793245363,-4283.55243904951
C2H2(aq),high,500.0,643.15,-3539.251599126185,-8398.084528936934,11181.560957106649,-193.24941048739169,0.926629084717934,-0.0017154209420553606,1.095307989401839e-06,-1830.776382490124,-34326.83679634455
Cytosine(aq),low,273.16,500.0,-3447.973884108599,42268.69990223716,-2630.7646727517968,23.809745671613225,-0.08543721337570123,0.000138836355417691,-8.529814039483629e-08,8892.404237500321,10795.256486038503
Cytosine(aq),high,500.0,643.15,33851.97356062891,14580.220359529936,-37554.19152798176,537.0195411290384,-2.1723903668562285,0.003474065586588615,-1.952567162148648e-06,4835.180445829991,122246.71307703009
H2O(l),low,273.16,500.0,2247.682621363264,628.7851531389728,-53.0762409090547,0.6308728545380037,-0.002491332055348732,4.3803379312382795e-06,-2.8738272944710025e-09,-27099.24959135506,202.55366626454247
H2O(l),high,500.0,643.15,7249.5210660074345,634.9829568474615,-252.9679433814932,1.767234603166262,-0.004486260810511074,5.052853069930869e-06,-2.129493557719473e-09,-1262.2109633543978,1086.3642972646394
HCN(aq),low,273.16,500.0,-797.0705378928103,-8329.844966084875,683.7911597921641,-5.902375511245664,0.020646605947571162,-3.26156135978485e-05,1.944998478697987e-08,-2349.0171969498692,-2817.0844604325666
HCN(aq),high,500.0,643.15,408.39990907967876,-13685.92081664805,6437.971939057308,-94.47690193455587,0.4071184157231765,-0.0006957042454480497,4.1697399818855616e-07,-1644.0391902866418,-21193.195446225778
NH3(aq),low,273.16,500.0,-2.539228165353999,729.2114018148865,-52.00223835883132,0.45166451980807115,-0.0011847225734366261,1.1989624834108593e-06,-2.9153946087030467e-10,165.46749254434428,219.68216711091355
NH3(aq),high,500.0,643.15,180.0904946023885,-994.7467164949808,669.881289335251,-13.595209015512163,0.0721195441544988,-0.00014261756399329284,9.538878298052147e-08,235.19544268401327,-1912.9246091488349
