amino_acid,target_product,formula,n_C,n_H,n_N,n_O,molar_volume_cm3_mol,max_stoichiometric_yield_mol,inventory_accessible_fraction,min_NH3_accessible,min_C2H2_over_HCN_accessible,X_eq_at_reference_inventory,accessible_at_zero_offset,max_X_eq,peak_case_id,deltaG_positive_crossing_kJ_mol,deltaG_negative_crossing_kJ_mol,robust_to_pm20,robust_to_pm40,n_failed,n_suspect_balance,discriminator
alanine,Alanine(aq),C3H7NO2,3,7,1,2,60.4,0.03466666666666667,0.96,0.01,0.2083333333333333,0.0190114068441064,True,0.0201850294365012,ALA_INV_000006,,,True,True,0,0,robust_accessible
arginine,Arginine(aq),C6H14N4O2,6,14,4,2,123.9,0.017333333333333336,0.96,0.01,0.2083333333333333,0.0070621468926553,True,0.007556675062971,ARG_INV_000004,,,True,True,0,0,robust_accessible
asparagine,Asparagine(aq),C4H8N2O3,4,8,2,3,77.4,0.026000000000000002,0.96,0.01,0.2083333333333333,0.0069637883008356,True,0.0074750830564784,ASP_INV_000003,,,True,True,0,0,robust_accessible
asparticacid,AsparticAcid(aq),C4H7NO4,4,7,1,4,74.7,0.026000000000000002,0.96,0.01,0.2083333333333333,0.0069637883008356,True,0.0074750830564784,ASP_INV_000003,,,True,True,0,0,robust_accessible
glutamicacid,GlutamicAcid(aq),C5H9NO4,5,9,1,4,90.2,0.020800000000000003,0.96,0.01,0.2083333333333333,0.0080385852090032,True,0.0085990684342529,GLU_INV_000004,,,True,True,0,0,robust_accessible
glutamine,Glutamine(aq),C5H10N2O3,5,10,2,3,93.7,0.020800000000000003,0.96,0.01,0.2083333333333333,0.0080385852090032,True,0.0085990684342529,GLU_INV_000004,,,True,True,0,0,robust_accessible
glycine,Glycine(aq),C2H5NO2,2,5,1,2,43.2,0.052000000000000005,0.96,0.01,0.2083333333333333,0.0139275766016713,True,0.0149501661129568,GLY_INV_000003,158.57869608790872,,True,True,0,0,energetically_fragile
histidine,Histidine(aq),C6H9N3O2,6,9,3,2,99.3,0.017333333333333336,0.96,0.01,0.2083333333333333,0.0055555555555555,True,0.005962239152037,HIS_INV_000003,,,True,True,0,0,robust_accessible
isoleucine,Isoleucine(aq),C6H13NO2,6,13,1,2,105.8,0.017333333333333336,0.96,0.01,0.2083333333333333,0.0134357005758157,True,0.0337837837837837,ISO_INV_000125,,,True,True,0,0,robust_accessible
leucine,Leucine(aq),C6H13NO2,6,13,1,2,107.8,0.017333333333333336,0.96,0.01,0.2083333333333333,0.0134357005758157,True,0.0337837837837837,LEU_INV_000125,,,True,True,0,0,robust_accessible
lysine,Lysine(aq),C6H14N2O2,6,14,2,2,108.6,0.017333333333333336,0.96,0.01,0.2083333333333333,0.0153996577853825,True,0.0306643952299829,LYS_INV_000171,,,True,True,0,0,robust_accessible
phenylalanine,Phenylalanine(aq),C9H11NO2,9,11,1,2,122.1,0.011555555555555557,0.96,0.01,0.2083333333333333,0.0109393992012502,True,0.0119067306102199,PHE_INV_000012,,,True,True,0,0,robust_accessible
proline,Proline(aq),C5H9NO2,5,9,1,2,82.6,0.020800000000000003,0.96,0.01,0.2083333333333333,0.0193798449612403,True,0.0201680672268907,PRO_INV_000011,,,True,True,0,0,robust_accessible
serine,Serine(aq),C3H7NO3,3,7,1,3,60.6,0.03466666666666667,0.96,0.01,0.2083333333333333,0.0112359550561797,True,0.0120683875293328,SER_INV_000003,186.4749758869518,,True,True,0,0,energetically_fragile
threonine,Threonine(aq),C4H9NO3,4,9,1,3,77.6,0.026000000000000002,0.96,0.01,0.2083333333333333,0.0143266475644699,True,0.0152155536770921,THR_INV_000006,,,True,True,0,0,robust_accessible
tryptophan,Tryptophan(aq),C11H12N2O2,11,12,2,2,143.6,0.009454545454545455,0.96,0.01,0.2083333333333333,0.0062578222778473,True,0.0065843621399176,TRY_INV_000008,,,True,True,0,0,robust_accessible
tyrosine,Tyrosine(aq),C9H11NO3,9,11,1,3,124.5,0.011555555555555557,0.96,0.01,0.2083333333333333,0.0081037277147487,True,0.0085297950479801,TYR_INV_000008,,,True,True,0,0,robust_accessible
valine,Valine(aq),C5H11NO2,5,11,1,2,90.9,0.020800000000000003,0.96,0.01,0.2083333333333333,0.0174081237911025,True,0.0442913385826771,VAL_INV_000125,,,True,True,0,0,robust_accessible
