scenario,model_mode,yaml_file,target_product,T_C,target_present_in_yaml,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,x_threshold,n_threshold_mol,formed_bool,formation_call,solver_status,element_balance_relative_spread
validation,single_product,Adenine.yaml,Adenine(aq),20.0,True,0.0037523452119672496,-2.4256972138015445,0.003999999996016872,-2.3979400091045004,1e-12,0.0,True,significant,ok,4.165940054816372e-16
validation,single_product,Cytosine.yaml,Cytosine(aq),20.0,True,0.005649717514124223,-2.247973266361812,0.005999999999999926,-2.2218487496163615,1e-12,0.0,True,significant,ok,2.090815488936264e-16
