scenario,model_mode,yaml_file,target_product,T_C,target_X_eq,target_log10_X_eq,target_n_eq_mol,formed_bool,formation_call,most_depleted_species,max_depletion_fraction,most_consumed_species,max_consumed_mol,depletion_call,solver_status,element_balance_relative_spread,target_log10_n_eq_mol
validation,single_product,Adenine.yaml,Adenine(aq),20.0,0.0037523452119672496,-2.4256972138015445,0.003999999996016872,True,significant,HCN(aq),0.9999999990042182,HCN(aq),0.019999999980084365,dominant_depletion_detected,ok,4.165940054816372e-16,-2.3979400091045004
validation,single_product,Cytosine.yaml,Cytosine(aq),20.0,0.005649717514124223,-2.247973266361812,0.005999999999999926,True,significant,HCN(aq),0.9999999999999877,HCN(aq),0.019999999999999754,dominant_depletion_detected,ok,2.090815488936264e-16,-2.2218487496163615
