study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance,amino_acid
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.0008970000053523,1.0,0.02,0.0333333333333333,0.0,1.6666666666666667,0.0,ALA_INV_000009,0.0201342281879194,-1.696065013692613,0.0199999999999999,-1.69897000433602,True,significant,ok,,3.353022557592752e-15,False,alanine
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.0009048329957295,1.0,0.02,0.0375,0.0,1.875,0.0,ALA_INV_000010,0.0200501253132832,-1.6978829086948048,0.0199999999999999,-1.698970004336019,True,significant,ok,,3.339016615414004e-16,False,alanine
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.0008814169996185,1.0,0.02,0.0416666666666666,0.0,2.083333333333333,0.0,ALA_INV_000011,0.0199667221297836,-1.6996932259551167,0.0199999999999999,-1.6989700043360203,True,significant,ok,,4.8768532196512665e-15,False,alanine
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.0008981659921118,1.0,0.02,0.0458333333333333,0.0,2.291666666666667,0.0,ALA_INV_000012,0.0198840099420049,-1.7014960283857448,0.0199999999999999,-1.69897000433602,True,significant,ok,,3.532109705518308e-15,False,alanine
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.0010962910018861,1.0,0.02,0.05,0.0,2.5,0.0,ALA_INV_000013,0.0198019801980197,-1.7032913781186636,0.0199999999999999,-1.69897000433602,True,significant,ok,,4.836615156782849e-15,False,alanine
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.000921874991036,1.0,0.02,0.0541666666666666,0.0,2.708333333333333,0.0,ALA_INV_000014,0.019720624486442,-1.7050793365184604,0.0199999999999999,-1.69897000433602,True,significant,ok,,3.5030866183735397e-15,False,alanine
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.0008973750082077,1.0,0.02,0.0583333333333333,0.0,2.916666666666667,0.0,ALA_INV_000015,0.0196399345335515,-1.7068599641949307,0.0199999999999999,-1.69897000433602,True,significant,ok,,2.834611977766356e-15,False,alanine
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.0009189580014208,1.0,0.02,0.0625,0.0,3.125,0.0,ALA_INV_000016,0.0195599022004889,-1.7086333210154003,0.0199999999999999,-1.69897000433602,True,significant,ok,,4.994646369951795e-15,False,alanine
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.0009479159925831,1.0,0.02,0.0666666666666666,0.0,3.333333333333333,0.0,ALA_INV_000017,0.0194805194805194,-1.7103994661168025,0.0199999999999999,-1.6989700043360203,True,significant,ok,,3.892989826607689e-15,False,alanine
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.0009013329981826,1.0,0.02,0.0708333333333333,0.0,3.541666666666667,0.0,ALA_INV_000018,0.0194017784963621,-1.7121584579175162,0.0199999999999999,-1.69897000433602,True,significant,ok,,3.661851204907546e-15,False,alanine
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.0008950829942477,1.0,0.02,0.075,0.0,3.75,0.0,ALA_INV_000019,0.0193236714975845,-1.7139103541289564,0.0199999999999999,-1.6989700043360194,True,significant,ok,,2.1453585016911214e-15,False,alanine
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.0009918750001816,1.0,0.02,0.0791666666666666,0.0,3.9583333333333335,0.0,ALA_INV_000020,0.0192461908580593,-1.7156552117669377,0.0199999999999999,-1.6989700043360196,True,significant,ok,,2.136756422694768e-15,False,alanine
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.0009262079984182,1.0,0.02,0.0833333333333333,0.0,4.166666666666667,0.0,ALA_INV_000021,0.0191693290734824,-1.7173930871628056,0.0199999999999999,-1.6989700043360194,True,significant,ok,,1.4897561352797625e-15,False,alanine
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.0008979169942904,1.0,0.02,0.0875,0.0,4.375,0.0,ALA_INV_000022,0.0190930787589498,-1.7191240359743536,0.0199999999999999,-1.69897000433602,True,significant,ok,,4.239515129833528e-15,False,alanine
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.0008974579977802,1.0,0.02,0.0916666666666666,0.0,4.583333333333334,0.0,ALA_INV_000023,0.0190174326465927,-1.7208481131965097,0.0199999999999999,-1.6989700043360192,True,significant,ok,,8.445436637402143e-16,False,alanine
